1,dsk-00001,Windows,Microsoft,10,11.2,Supported,11,1
1,dsk-00002,Windows,Microsoft,8,8.2,OutOfSupport,11,3
1,dsk-00003,Ubuntu Desktop,Canonical,24,24.1,Supported,24,0
1,dsk-00004,Ubuntu Desktop,Canonical,21,22.1,OutOfSupport,24,3
1,dsk-00005,Windows,Microsoft,7,7.0,OutOfSupport,11,4
1,dsk-00006,Windows,Microsoft,10,10.3,Supported,11,1
1,dsk-00007,Windows,Microsoft,7,7.1,OutOfSupport,11,4
1,dsk-00008,Ubuntu Desktop,Canonical,21,21.0,OutOfSupport,24,3
1,dsk-00009,Windows,Microsoft,7,7.1,OutOfSupport,11,4
1,dsk-00010,Ubuntu Desktop,Canonical,21,21.0,OutOfSupport,24,3
1,dsk-00011,Ubuntu Desktop,Canonical,22,22.3,Supported,24,2
1,dsk-00012,Windows,Microsoft,11,11.1,Supported,11,0
1,dsk-00013,Ubuntu Desktop,Canonical,22,22.1,Supported,24,2
1,dsk-00014,Windows,Microsoft,10,10.0,Supported,11,1
1,dsk-00015,Ubuntu Desktop,Canonical,24,24.2,Supported,24,0
1,dsk-00016,Ubuntu Desktop,Canonical,23,23.3,Supported,24,1
1,dsk-00017,Ubuntu Desktop,Canonical,23,23.1,Supported,24,1
1,dsk-00018,Windows,Microsoft,6,7.1,OutOfSupport,11,5
1,dsk-00019,Windows,Microsoft,10,10.0,Supported,11,1
1,dsk-00020,Ubuntu Desktop,Canonical,21,22.3,OutOfSupport,24,3
1,dsk-00022,Windows,Microsoft,9,9.0,Supported,11,2
1,dsk-00023,Ubuntu Desktop,Canonical,23,23.2,Supported,24,1
1,dsk-00024,Ubuntu Desktop,Canonical,23,23.2,Supported,24,1
1,dsk-00025,Ubuntu Desktop,Canonical,22,23.0,Supported,24,2
1,dsk-00026,Windows,Microsoft,6,7.1,OutOfSupport,11,5
1,dsk-00027,Ubuntu Desktop,Canonical,23,23.2,Supported,24,1
1,dsk-00028,Windows,Microsoft,9,9.2,Supported,11,2
1,dsk-00029,Windows,Microsoft,7,7.1,OutOfSupport,11,4
1,dsk-00030,Windows,Microsoft,10,11.0,Supported,11,1
1,dsk-00031,Windows,Microsoft,10,11.0,Supported,11,1
1,dsk-00032,Ubuntu Desktop,Canonical,20,20.3,OutOfSupport,24,4
1,dsk-00033,Windows,Microsoft,7,7.3,OutOfSupport,11,4
1,dsk-00034,Ubuntu Desktop,Canonical,23,24.0,Supported,24,1
1,dsk-00035,Ubuntu Desktop,Canonical,21,22.0,OutOfSupport,24,3
1,dsk-00036,Windows,Microsoft,8,8.0,OutOfSupport,11,3
1,dsk-00037,Ubuntu Desktop,Canonical,22,22.0,Supported,24,2
1,dsk-00038,Ubuntu Desktop,Canonical,21,22.3,OutOfSupport,24,3
1,dsk-00039,Ubuntu Desktop,Canonical,22,22.0,Supported,24,2
1,dsk-00041,Windows,Microsoft,8,8.1,OutOfSupport,11,3
1,dsk-00042,Windows,Microsoft,10,10.3,Supported,11,1
1,dsk-00043,Windows,Microsoft,11,11.1,Supported,11,0
1,dsk-00044,Windows,Microsoft,8,8.0,OutOfSupport,11,3
1,dsk-00045,Windows,Microsoft,10,10.0,Supported,11,1
1,dsk-00046,Ubuntu Desktop,Canonical,23,23.0,Supported,24,1
1,dsk-00047,Windows,Microsoft,8,8.3,OutOfSupport,11,3
1,dsk-00048,Ubuntu Desktop,Canonical,22,23.0,Supported,24,2
1,dsk-00049,Windows,Microsoft,11,11.2,Supported,11,0
1,dsk-00050,Ubuntu Desktop,Canonical,22,22.3,Supported,24,2
1,dsk-00051,Ubuntu Desktop,Canonical,23,23.0,Supported,24,1
1,dsk-00052,Ubuntu Desktop,Canonical,22,22.0,Supported,24,2
1,dsk-00053,Ubuntu Desktop,Canonical,23,23.2,Supported,24,1
1,dsk-00054,Ubuntu Desktop,Canonical,21,21.1,OutOfSupport,24,3
1,dsk-00055,Ubuntu Desktop,Canonical,23,23.0,Supported,24,1
1,dsk-00056,Ubuntu Desktop,Canonical,21,22.3,OutOfSupport,24,3
1,dsk-00057,Windows,Microsoft,9,9.0,Supported,11,2
1,dsk-00058,Windows,Microsoft,11,11.1,Supported,11,0
1,dsk-00059,Windows,Microsoft,10,10.0,Supported,11,1
1,dsk-00060,Ubuntu Desktop,Canonical,24,24.3,Supported,24,0
1,dsk-00061,Windows,Microsoft,6,7.1,OutOfSupport,11,5
1,dsk-00062,Windows,Microsoft,7,7.2,OutOfSupport,11,4
1,dsk-00063,Windows,Microsoft,11,11.0,Supported,11,0
1,dsk-00064,Windows,Microsoft,9,9.3,Supported,11,2
1,dsk-00065,Windows,Microsoft,9,9.0,Supported,11,2
1,dsk-00066,Windows,Microsoft,10,10.1,Supported,11,1
1,dsk-00067,Windows,Microsoft,11,11.3,Supported,11,0
1,dsk-00068,Windows,Microsoft,9,9.1,Supported,11,2
1,dsk-00069,Windows,Microsoft,10,10.2,Supported,11,1
1,dsk-00070,Windows,Microsoft,7,7.3,OutOfSupport,11,4
