1,sys-1,sys-1-development,Development,Development
1,sys-1,sys-1-prod,Production,Production
1,sys-1,sys-1-test,Test,Test
1,sys-1,sys-1-uat,UAT,UAT
1,sys-10,sys-10-development,Development,Development
1,sys-10,sys-10-prod,Production,Production
1,sys-10,sys-10-test,Test,Test
1,sys-10,sys-10-uat,UAT,UAT
1,sys-11,sys-11-development,Development,Development
1,sys-11,sys-11-prod,Production,Production
1,sys-11,sys-11-uat,UAT,UAT
1,sys-12,sys-12-development,Development,Development
1,sys-12,sys-12-prod,Production,Production
1,sys-13,sys-13-prod,Production,Production
1,sys-13,sys-13-test,Test,Test
1,sys-13,sys-13-uat,UAT,UAT
1,sys-14,sys-14-development,Development,Development
1,sys-14,sys-14-prod,Production,Production
1,sys-14,sys-14-test,Test,Test
1,sys-14,sys-14-uat,UAT,UAT
1,sys-15,sys-15-development,Development,Development
1,sys-15,sys-15-prod,Production,Production
1,sys-15,sys-15-test,Test,Test
1,sys-15,sys-15-uat,UAT,UAT
1,sys-2,sys-2-prod,Production,Production
1,sys-2,sys-2-test,Test,Test
1,sys-2,sys-2-uat,UAT,UAT
1,sys-3,sys-3-development,Development,Development
1,sys-3,sys-3-prod,Production,Production
1,sys-3,sys-3-test,Test,Test
1,sys-4,sys-4-prod,Production,Production
1,sys-4,sys-4-test,Test,Test
1,sys-4,sys-4-uat,UAT,UAT
1,sys-5,sys-5-development,Development,Development
1,sys-5,sys-5-prod,Production,Production
1,sys-5,sys-5-test,Test,Test
1,sys-5,sys-5-uat,UAT,UAT
1,sys-6,sys-6-development,Development,Development
1,sys-6,sys-6-prod,Production,Production
1,sys-6,sys-6-test,Test,Test
1,sys-6,sys-6-uat,UAT,UAT
1,sys-7,sys-7-development,Development,Development
1,sys-7,sys-7-prod,Production,Production
1,sys-7,sys-7-test,Test,Test
1,sys-7,sys-7-uat,UAT,UAT
1,sys-8,sys-8-prod,Production,Production
1,sys-8,sys-8-test,Test,Test
1,sys-9,sys-9-development,Development,Development
1,sys-9,sys-9-prod,Production,Production
1,sys-9,sys-9-uat,UAT,UAT
2,sys-1,sys-1-development,Development,Development
2,sys-1,sys-1-prod,Production,Production
2,sys-1,sys-1-test,Test,Test
2,sys-1,sys-1-uat,UAT,UAT
2,sys-10,sys-10-development,Development,Development
2,sys-10,sys-10-prod,Production,Production
2,sys-10,sys-10-test,Test,Test
2,sys-10,sys-10-uat,UAT,UAT
2,sys-11,sys-11-development,Development,Development
2,sys-11,sys-11-prod,Production,Production
2,sys-11,sys-11-uat,UAT,UAT
2,sys-12,sys-12-development,Development,Development
2,sys-12,sys-12-prod,Production,Production
2,sys-13,sys-13-prod,Production,Production
2,sys-13,sys-13-test,Test,Test
2,sys-13,sys-13-uat,UAT,UAT
2,sys-14,sys-14-development,Development,Development
2,sys-14,sys-14-prod,Production,Production
2,sys-14,sys-14-test,Test,Test
2,sys-14,sys-14-uat,UAT,UAT
2,sys-15,sys-15-development,Development,Development
2,sys-15,sys-15-prod,Production,Production
2,sys-15,sys-15-test,Test,Test
2,sys-15,sys-15-uat,UAT,UAT
2,sys-2,sys-2-prod,Production,Production
2,sys-2,sys-2-test,Test,Test
2,sys-2,sys-2-uat,UAT,UAT
2,sys-3,sys-3-development,Development,Development
2,sys-3,sys-3-prod,Production,Production
2,sys-3,sys-3-test,Test,Test
2,sys-4,sys-4-prod,Production,Production
2,sys-4,sys-4-test,Test,Test
2,sys-4,sys-4-uat,UAT,UAT
2,sys-5,sys-5-development,Development,Development
2,sys-5,sys-5-prod,Production,Production
2,sys-5,sys-5-test,Test,Test
2,sys-5,sys-5-uat,UAT,UAT
2,sys-6,sys-6-development,Development,Development
2,sys-6,sys-6-prod,Production,Production
2,sys-6,sys-6-test,Test,Test
2,sys-6,sys-6-uat,UAT,UAT
