1,net-1,Aegis Mesh North,Critical,Protected,Discovery Enabled
1,net-2,Sentinel Core East,Critical,Restricted,Discovery Enabled
1,net-3,Rampart Domain South,Critical,Protected,Discovery Enabled
1,net-4,Vanguard Grid West,Critical,Protected,Discovery Enabled
1,net-5,Citadel Fusion Central,Critical,Restricted,Discovery Enabled
1,net-new-1,Defence Joint Sensor Backbone,Critical,Protected,Discovery Non Enabled
1,net-new-2,Defence Expeditionary Access Fabric,Non-Critical,Official,Discovery Non Enabled
1,net-new-3,Defence Maritime Command Mesh,Critical,Restricted,Discovery Non Enabled
1,net-new-4,Defence Air Operations Transit Grid,Critical,Protected,Discovery Non Enabled
1,net-new-5,Defence Secure Logistics Exchange,Non-Critical,Official,Discovery Non Enabled
1,net-new-6,Defence ISR Correlation Bus,Critical,Restricted,Discovery Non Enabled
1,net-new-7,Defence Coalition Gateway Ring,Non-Critical,Official,Discovery Non Enabled
2,net-1,Aegis Mesh North,Critical,Protected,Discovery Enabled
2,net-2,Sentinel Core East,Critical,Restricted,Discovery Enabled
2,net-3,Rampart Domain South,Critical,Protected,Discovery Enabled
2,net-4,Vanguard Grid West,Critical,Protected,Discovery Enabled
2,net-5,Citadel Fusion Central,Critical,Restricted,Discovery Enabled
2,net-new-1,Defence Joint Sensor Backbone,Critical,Protected,Discovery Non Enabled
2,net-new-2,Defence Expeditionary Access Fabric,Non-Critical,Official,Discovery Non Enabled
2,net-new-3,Defence Maritime Command Mesh,Critical,Restricted,Discovery Non Enabled
2,net-new-4,Defence Air Operations Transit Grid,Critical,Protected,Discovery Non Enabled
2,net-new-5,Defence Secure Logistics Exchange,Non-Critical,Official,Discovery Non Enabled
2,net-new-6,Defence ISR Correlation Bus,Critical,Restricted,Discovery Non Enabled
2,net-new-7,Defence Coalition Gateway Ring,Non-Critical,Official,Discovery Non Enabled
3,net-1,Aegis Mesh North,Critical,Protected,Discovery Enabled
3,net-2,Sentinel Core East,Critical,Restricted,Discovery Enabled
3,net-3,Rampart Domain South,Critical,Protected,Discovery Enabled
3,net-4,Vanguard Grid West,Critical,Protected,Discovery Enabled
3,net-5,Citadel Fusion Central,Critical,Restricted,Discovery Enabled
3,net-new-1,Defence Joint Sensor Backbone,Critical,Protected,Discovery Non Enabled
3,net-new-2,Defence Expeditionary Access Fabric,Non-Critical,Official,Discovery Non Enabled
3,net-new-3,Defence Maritime Command Mesh,Critical,Restricted,Discovery Non Enabled
3,net-new-4,Defence Air Operations Transit Grid,Critical,Protected,Discovery Non Enabled
3,net-new-5,Defence Secure Logistics Exchange,Non-Critical,Official,Discovery Non Enabled
3,net-new-6,Defence ISR Correlation Bus,Critical,Restricted,Discovery Non Enabled
3,net-new-7,Defence Coalition Gateway Ring,Non-Critical,Official,Discovery Non Enabled
4,net-1,Aegis Mesh North,Critical,Protected,Discovery Enabled
4,net-2,Sentinel Core East,Critical,Restricted,Discovery Enabled
4,net-3,Rampart Domain South,Critical,Protected,Discovery Enabled
4,net-4,Vanguard Grid West,Critical,Protected,Discovery Enabled
4,net-5,Citadel Fusion Central,Critical,Restricted,Discovery Enabled
4,net-new-1,Defence Joint Sensor Backbone,Critical,Protected,Discovery Non Enabled
4,net-new-2,Defence Expeditionary Access Fabric,Non-Critical,Official,Discovery Non Enabled
4,net-new-3,Defence Maritime Command Mesh,Critical,Restricted,Discovery Non Enabled
4,net-new-4,Defence Air Operations Transit Grid,Critical,Protected,Discovery Non Enabled
4,net-new-5,Defence Secure Logistics Exchange,Non-Critical,Official,Discovery Non Enabled
4,net-new-6,Defence ISR Correlation Bus,Critical,Restricted,Discovery Non Enabled
4,net-new-7,Defence Coalition Gateway Ring,Non-Critical,Official,Discovery Non Enabled
5,net-1,Aegis Mesh North,Critical,Protected,Discovery Enabled
5,net-2,Sentinel Core East,Critical,Restricted,Discovery Enabled
5,net-3,Rampart Domain South,Critical,Protected,Discovery Enabled
5,net-4,Vanguard Grid West,Critical,Protected,Discovery Enabled
5,net-5,Citadel Fusion Central,Critical,Restricted,Discovery Enabled
5,net-new-1,Defence Joint Sensor Backbone,Critical,Protected,Discovery Non Enabled
5,net-new-2,Defence Expeditionary Access Fabric,Non-Critical,Official,Discovery Non Enabled
5,net-new-3,Defence Maritime Command Mesh,Critical,Restricted,Discovery Non Enabled
5,net-new-4,Defence Air Operations Transit Grid,Critical,Protected,Discovery Non Enabled
5,net-new-5,Defence Secure Logistics Exchange,Non-Critical,Official,Discovery Non Enabled
5,net-new-6,Defence ISR Correlation Bus,Critical,Restricted,Discovery Non Enabled
