1,dsoc-siem,network-device,required
1,dsoc-siem,server,required
1,dsoc-siem,workstation,required
1,elastic,network-device,na
1,elastic,server,required
1,elastic,workstation,required
1,servicenow,network-device,required
1,servicenow,server,required
1,servicenow,workstation,required
1,snow,network-device,required
1,snow,server,required
1,snow,workstation,required
1,tanium,network-device,na
1,tanium,server,required
1,tanium,workstation,required
1,tenable,network-device,required
1,tenable,server,required
1,tenable,workstation,required
1,ucmdb,network-device,required
1,ucmdb,server,required
1,ucmdb,workstation,required
