1,dsk-00001,Desktop 1,dsk-00001.dct.local,workstation,net-1,Unclassified,sys-1,Production,EOL,InWarranty
1,dsk-00002,Desktop 2,dsk-00002.dct.local,workstation,net-1,Unclassified,sys-1,Test,Supported,InWarranty
1,dsk-00003,Desktop 3,dsk-00003.dct.local,workstation,net-1,Unclassified,sys-1,Production,EOL,InWarranty
1,dsk-00004,Desktop 4,dsk-00004.dct.local,workstation,net-1,Unclassified,sys-1,Production,Supported,InWarranty
1,dsk-00005,Desktop 5,dsk-00005.dct.local,workstation,net-1,Unclassified,sys-1,Test,Supported,InWarranty
1,dsk-00006,Desktop 6,dsk-00006.dct.local,workstation,net-1,Unclassified,sys-1,Production,Supported,InWarranty
1,dsk-00007,Desktop 7,dsk-00007.dct.local,workstation,net-1,Unclassified,sys-1,Production,Supported,InWarranty
1,dsk-00008,Desktop 8,dsk-00008.dct.local,workstation,net-1,Unclassified,sys-1,Production,Supported,InWarranty
1,dsk-00009,Desktop 9,dsk-00009.dct.local,workstation,net-1,Unclassified,sys-1,UAT,Supported,InWarranty
1,dsk-00010,Desktop 10,dsk-00010.dct.local,workstation,net-1,Unclassified,sys-1,Production,Supported,InWarranty
1,dsk-00011,Desktop 11,dsk-00011.dct.local,workstation,net-1,Unclassified,sys-1,Test,Supported,InWarranty
1,dsk-00012,Desktop 12,dsk-00012.dct.local,workstation,net-1,Unclassified,sys-1,Production,Supported,InWarranty
1,dsk-00013,Desktop 13,dsk-00013.dct.local,workstation,net-1,Unclassified,sys-1,UAT,Supported,InWarranty
1,dsk-00014,Desktop 14,dsk-00014.dct.local,workstation,net-1,Unclassified,sys-1,Production,Supported,InWarranty
1,dsk-00015,Desktop 15,dsk-00015.dct.local,workstation,net-1,Unclassified,sys-1,Production,Supported,OutOfWarranty
1,dsk-00016,Desktop 16,dsk-00016.dct.local,workstation,net-1,Unclassified,sys-1,Production,Supported,OutOfWarranty
1,dsk-00017,Desktop 17,dsk-00017.dct.local,workstation,net-1,Unclassified,sys-1,Test,Supported,InWarranty
1,dsk-00018,Desktop 18,dsk-00018.dct.local,workstation,net-1,Unclassified,sys-1,Production,Supported,InWarranty
1,dsk-00019,Desktop 19,dsk-00019.dct.local,workstation,net-1,Unclassified,sys-1,Test,Supported,InWarranty
