asset,176000
asset_installed_software,622480
asset_network_os,62088
asset_operating_system,108824
asset_patch_state,62260
asset_vulnerability,275894
dataset_snapshot,8
discovery_tool,7
discovery_tool_asset_scope,21
discovery_tools_settings_version,1
finding,93405
ict_system,440
managed_network,96
measures_settings_version,1
measures_severity_matrix,30
network_declared_asset,176000
network_declared_system,120
spi_applicable_asset_type,14
spi_definition,10
system_business_service,248
system_environment,400
system_environment_asset,129464
system_mission_capability,232
